,id,InventoryNumber,Maker,Country,Year,LocationSite,a,b,c,d,e,f,h1,h2,body,width,length,s1,s2,s3,s4,s5,s6,H,std_s1,std_s2,std_s3,std_s4,std_s5,std_s6,s_1sthalf,std_s_1sthalf,s_2ndhalf,std_s_2ndhalf,s_tot,std_s_tot,reff,PermanentLink
0,4160-01,4160-01 ,Amati,Italy,1611,Muziekinstrumentenmuseum,0.23854596378160739,0.40781316849282589,0.35364086772556669,0.23866339560791242,0.41019333261123525,0.35114327178085231,0.41514621015386988,0.48093625735175771,233.03260553278386,0.56812313345494625,1.6246010346636917,27.614764651579186,54.153426235187339,25.230798795104246,26.527063108265125,52.835265975322976,22.706742396968089,0.97561459316173782,9.2144499398359123,31.004293018941773,13.513124607609603,12.655199247719159,26.537240737999205,11.412615218712974,37.570458040761565,9.4822344726590977e-05,9.5602115390579697e-05,8.4138766834922912e-05,0.00010578990056141864,8.9946930608853537e-05,0.17406939064763285,http://www.mimo-international.com/MIMO/doc/IFD/OAI_KMKG_MRAH_RMAH_110367_NL/viool
1,MFIM000026886,1984.1.11 ,Anonyme,Unclear,1800,Musée de la Lutherie et de l'Archeterie (Mirecourt),0.22405069249623885,0.41506439432682024,0.36088491317694088,0.22949025592213143,0.40269025717176665,0.36781948690610194,0.43754692861889399,0.47808674356383807,634.072705859032,0.57450466035262115,1.6441705726407339,21.89572293691754,62.358987682498601,24.304544089118377,25.179884372120938,59.387498297515236,22.678756507140164,2.2107862786366965,12.180544646493649,52.171413984624778,4.9158472121595063,12.817057649747408,42.59143793464294,12.467975150936553,40.871071171466312,2.4093113860860689e-05,1.8555171508675444e-05,2.1827112085265727e-05,1.9568395942537491e-05,2.2993620966986776e-05,0.1271061764575124,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0849427/violon
2,MDMB000735,MDMB 735 ,,Unclear,-1,Museu de la música de Barcelona,0.234670148744382,0.44502624407091013,0.32030360718470785,0.21936242336612946,0.44825996176142929,0.33237761487244127,0.4753836497950919,0.53942000021702452,1464.7932358187743,0.59571547619295451,1.7107659063538496,23.023196782934793,61.131720710403869,31.042926481927914,29.461745110290515,64.362708022853951,21.497995362771562,1.6334598283983246,14.10527793045731,23.802288341185726,17.681376145481025,12.164098407352684,26.362265948315681,9.4301243245437778,46.946666473854378,4.9506135038749825e-06,3.3118552312101331e-06,4.7785823626060593e-06,3.4603529110446987e-06,4.8646207176379052e-06,0.13468739552388842,http://www.mimo-international.com/MIMO/doc/IFD/OAI_MDMB_309669/violi
3,MIR820_1289312311385_2,MIR820 ,Simon Kreutner,Unclear,1886,Germanisches Nationalmuseum,0.23736105474724889,0.41619381914112219,0.34644512611162892,0.23771656166191293,0.4215606244080029,0.34072281393008419,0.42547975476512317,0.50452433703477362,421.83668991686841,0.58693061313326733,1.6289303842267595,25.439222030544304,65.010314899525596,29.988186390425525,30.87538685655641,58.79039879176981,23.207977677338825,1.7450021299100622,7.7089087871206425,73.723777062041307,10.520315150097616,11.217853018138705,53.51172282222381,7.3659353981689311,48.954493610465633,6.440977507049227e-05,4.2404848728983181e-05,5.9846130078011916e-05,4.4702566900929438e-05,6.212349195138672e-05,0.12571260827539424,http://www.mimo-international.com/MIMO/doc/IFD/OAI_GNM_DE_651211/violine
4,4025,4025 ,Karl Joseph Hellmer,Czech Republic,1775,Museum für Musikinstrumente der Universität Leipzig,0.19204871724610434,0.43973183756661277,0.36821944518728289,0.19262950674685553,0.435433572927241,0.37193692032590348,0.41058609110098526,0.45700952957932661,436.02240149139891,0.54287915194216785,1.3338118271615844,17.637884140133142,52.933561396314595,18.248879236543388,19.103437824257153,55.130134877767375,16.748005361846531,0.039333399694426702,5.8832317158070779,40.765596235314412,5.0234460411535951,4.0838005760696365,41.060584415349666,5.373119926929669,31.678517666829851,4.6426792409936562e-05,3.9632060235292688e-05,4.6172738409581707e-05,3.9525248593746417e-05,4.6301772473117423e-05,0.13307846559582981,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0003617/violine
5,JT0397-01,JT0397-01 ,Auteur onbekend,Unclear,1989,Muziekinstrumentenmuseum,0.2091777940779451,0.43728234646058617,0.35353985946146876,0.21208078938409888,0.4387589404903261,0.34916027012557499,0.39936184363854038,0.47492246217130935,261.43763317624519,0.54521766781201653,1.5736346333708002,23.687068283838041,61.855968606238058,24.430840692297767,26.550511165214385,61.310690448550901,21.239265447331594,0.43399858589996149,10.113956002930822,41.450088885076298,14.706939049965209,8.7906305542464001,37.613159325972049,6.6328539349589102,76.790317241160835,0.0012396910344650962,9.9297913100381298e-05,9.2707028589398026e-05,0.000150991026037684,0.0008585970957932826,0.096897519005167854,http://www.mimo-international.com/MIMO/doc/IFD/OAI_KMKG_MRAH_RMAH_111161_NL/viool
6,4788,4788 ,Michael Strobl,Germany,1894,Museum für Musikinstrumente der Universität Leipzig,0.2594785127418649,0.41225018783394168,0.32827129942419347,0.25494098070914195,0.41144004441221455,0.3336189748786435,0.39786379849890119,0.46688805886864182,445.0111663755909,0.56045108942685906,1.6192674699716831,26.183616507047986,46.864435354009601,30.084485718101487,31.258337021508741,43.867547735225692,24.445887756305506,1.783710678304377,7.6093534795862761,31.912189294045092,8.224888337604968,9.9850508265953763,21.45441766190212,7.0559237795211134,42.738033493165183,4.5868002170408508e-05,3.6758272347539197e-05,4.5498030245747872e-05,3.7428441801499581e-05,4.5684866555364837e-05,0.13491381887776741,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004382/violine
7,4787,4787 ,Franz Hell,Germany,1920,Museum für Musikinstrumente der Universität Leipzig,0.22027281724597569,0.425327338107922,0.3543998446461023,0.22285473996931118,0.42793615150966768,0.34920910852102116,0.42924798184024943,0.4946370747217621,439.31261287726483,0.57042815765801336,1.6340293822647294,24.836867336038082,64.477990979953915,30.552159087355239,28.695276423844309,68.811259281750054,23.321477743436169,2.5898185211960345,7.0267971997313579,50.860760720248052,12.737211293047686,10.591566218323328,64.672766134867871,7.5727416690642109,48.475011788044689,5.315787760067899e-05,4.2267978125697002e-05,6.2845565767924276e-05,4.2570542596729341e-05,5.8296693131087606e-05,0.12171482243548654,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004381/violine
8,4786,4786 ,Ernst Wilhelm Neumärker,Germany,1892,Museum für Musikinstrumente der Universität Leipzig,0.21691175974299631,0.42898572237162746,0.35410251788537622,0.21974747822389631,0.42552851043867918,0.35472401133742448,0.42472696493313333,0.48884980723903437,457.57339787584203,0.57556945280319838,1.6229370929080711,25.610839342630335,64.892436067415147,29.069287582065254,28.330435523441054,64.507595469076435,23.881999696871521,2.4741032134303409,7.0125347693008235,58.244539419481292,8.3890769273338819,9.4417289626112257,55.807901282629594,8.1105165119295979,48.484719166497037,4.8929421403352289e-05,4.1745245106860184e-05,6.5219519681646905e-05,4.0568546451647897e-05,5.78169045241153e-05,0.11773050773656502,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004380/violine
9,4785,4785 ,Heinrich Schimansky,Germany,1945,Museum für Musikinstrumente der Universität Leipzig,0.2172773679786853,0.43386725039881768,0.34885538162249702,0.2109423152005753,0.42652498100942593,0.36253270378999874,0.42804875273281145,0.48966571578824464,440.98819652904689,0.56136680693257834,1.6166156679000785,24.624311153919841,64.363709083406278,29.310202474836803,28.282112584934019,70.377038754303555,23.612051975477627,2.2529385645871551,6.724206129210601,56.637076069804145,10.805050659641005,8.3881639976121445,60.944925703668282,6.3200421783479328,49.782107547514137,6.0714350243372541e-05,4.3701136379502622e-05,6.9560754541468197e-05,4.4156442257519583e-05,6.5409368908692111e-05,0.1164533522963358,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0004379/violine
